ID,Notes,Attachments,Front,Weapon,Type 2 ,Name1,Name2,Squadron,Location,Description,Fate
50,"October 9, 1973",F-4 Phantom,Syria,SA6,F -4E Kurnass 114,"Capt. Dov Shafir, Lt. Yaaov Yaacob","Capt. Dov Shafir, Lt. Yaaov Yaacob",119 sqn,Damascus GHQ,Shot down by Syrian SA -6,"kia, pow"
51,"October 9, 1973",F-4 Phantom,Egypt,,F -4E Kurnass 181,"Har'el Gilutz, Yosef Ye'ari","Har'el Gilutz, Yosef Ye'ari",107 sqn,Gulf of Suez,"Hit in Kotamiya raid, crew ejected over gulf and was rescued by helicopter","ok, ok"
52,"October 9, 1973",Mirage,Syria,MiG-21,Mirage Illcj 6625,Lt. Zvika Vered,Lt. Zvika Vered,117 sqn,Tel Kudna,Shot down by Syrian MiG-21 15:30,pow
53,"October 10, 1973",Skyhawk,Syria,SAM,A -4H Ayit 65,Capt. Yehuda Ben -An,Capt. Yehuda Ben -An,109 sqn,Quneitra,Shot down by Syrian SAM,kia
54,"October 10, 1973",Nesher,Egypt,AAA,Nesher 9006,Amos Shachar,Amos Shachar,117 sqn,,Shot down by Egyptian AAA,ok
55,"October 10, 1973",Mirage,Syria,MiG-21,Mirage Ilicj 778,Maj. Eitan Carmi,Maj. Eitan Carmi,101 sqn,Zebadani,Shot down by SyAF MiG-21 Sen.Lt. Kama! Abu Heira (Nasrie AB),ok
56,"October 11, 1973",Skyhawk,Syria,SA6,A -4N Ayit 322,Capt. Yitzhak Ofer,Capt. Yitzhak Ofer,115 sqn,Quneitra,Shot down by Syrian SA -6,kia
57,"October 11, 1973",Skyhawk,Syria,SA6,A -4N Ayit 378,Lt. Michael Shneider,Lt. Michael Shneider,115 sqn,Quneitra,Shot down by Syrian SA -6,pow
58,"October 11, 1973",Skyhawk,Syria,SAM,A -4H Ayit 58,Lt. Ze'ev Nesher,Lt. Ze'ev Nesher,102 sqn,5km NE Hermon,Shot down by Syrian SAM,pow
59,"October 11, 1973",Skyhawk,Syria,SA6,A -4E Ayit 241,Lt. Noah Hertz,Lt. Noah Hertz,116 sqn,E Quneitra,Shot down by Syrian SA -6 at 12:00,pow
60,"October 11, 1973",Skyhawk,Syria,SAM,A -4H Ayit 83,Lt. Amiram Guy,Lt. Amiram Guy,102 sqn,Golan heights,Shot down by Syrian SAM,pow
61,"October 11, 1973",Skyhawk,Syria,SAM,A -4H Ayit 08,Tron,Tron,102 sqn,,Shot down by Syrian SAM,pow
62,"October 11, 1973",F-4 Phantom,Egypt,MiG-21,F -4E Kurnass 673,"Capt. Yonathan Ophir, Capt. Aran Cohen","Capt. Yonathan Ophir, Capt. Aran Cohen",201 sqn,Banha bridge,Shot down by EAF MiG-21 Capt.Medhat Labib Sadik,"kia, kia"
63,"October 11, 1973",F-4 Phantom,Egypt,MiG-21,F -4E Kurnass 640,"Kobi Hayon, Uri Arad","Kobi Hayon, Uri Arad",201 sqn,Banha bridge,Shot down by Egyptian MiG-21MF (44 sqn 104 AB pilot Maj.ismail Hasan Imam),"pow, pow"
64,"October 11, 1973",F-4 Phantom,Lebanon,AAA,F -4E Kurnass,"Lt.Col. Amnon Arad, Lt. Israel Primor","Lt.Col. Amnon Arad, Lt. Israel Primor",69 sqn,Mount Hermon area,Shot down by Lebanese AAA (Fatah) after Han-Auesh fuel deport strike,"pow, pow"
65,"October 11, 1973",Dornier Do 27,Syria,SAM,Do -27Q Dror,Capt. Yaacov Bitzur,Capt. Yaacov Bitzur,100 sqn,Ahmadia intersection,"Shot down by Syrian SAM, pilot and two observers were killed",kia +2
66,"October 11, 1973",Super Mystère,Syria,AAA,SMB.2 Sa'ar,Lt. Lipsich,Lt. Lipsich,105 sqn,Tel -Shams,Shot down by Syrian AAA,ok
67,"October 11, 1973",Bell 205,Syria,AAA,Bell 205 Anafa 077,"Avner Cohen, Lt.Gadi Klein","Avner Cohen, Lt.Gadi Klein",124 sqn,South from Utais,Shot down by Syrian AAA,1 kia
68,"October 12, 1973",Skyhawk,Syria,SA3,A -4H Ayit 27,Maj.lsrael Baster-Bar,Maj.lsrael Baster-Bar,109 sqn,Khan -a -Sheik,Shot down by Syrian SA -3,kia
69,"October 12, 1973",Skyhawk,Syria,SA6,A -4E Ayit 257,Dov Peleg,Dov Peleg,110 sqn,,"Hit by Syrian SA -6, pilot ejected over Israel at 14:10",ok
70,"October 12, 1973",F-4 Phantom,Lebanon,AAA,F -4E Kurnass 90,"Moshe Koren, Nimrod","Moshe Koren, Nimrod",201 sqn,,"Damaged by Lebanese AAA, crew ejected over Israel",
71,"October 12, 1973",F-4 Phantom,Egypt,MiG-21,F -4E Kurnass 151,"Mal. Ran Goren, Micha Oren","Mal. Ran Goren, Micha Oren",107 sqn,Elmaza - Damascus,"Shot down by EAF MiG-21?, ejected over israeli terretory","ok, ok"
72,"October 12, 1973",Mirage,Syria,MiG-21,Mirage Illcj 785,Capt. Amichai Roke'ach,Capt. Amichai Roke'ach,117 sqn,Kutna,Shot down by SyAF MiG-21MF 10 a.m.,pow
73,"October 12, 1973",Mirage,Israel,Accident,Mirage ilicj 19,Shuki Sheffer,Shuki Sheffer,101 sqn,,"Taking off accident, damaged and w/o",ok
74,"October 12, 1973",Sikorsky,Egypt,SAM,CH -53 Yas'ur,"Capt. David Magal, Lt.Eliezer Nahlon","Capt. David Magal, Lt.Eliezer Nahlon",118 sqn,N Umm-Hushiba,Shot down by Egyptian SAM,"5 kia, 2 ok"
75,"October 13, 1973",Skyhawk,Egypt,SA2,TA -4 Ayit 743,"Lt. Ran Ofri, Maj. Yehuda Shefer","Lt. Ran Ofri, Maj. Yehuda Shefer",102 sqn,Jneifeh,Shot down by Egyptian SA -2,"kia, ok"
76,"October 13, 1973",Skyhawk,Syria,SAM,TA -4 Ayit 67,Capt. Gavriel Gerzon,Capt. Gavriel Gerzon,102 sqn,Shot down by Syrian SAM,pow,
77,"October 13, 1973",Skyhawk,Egypt,SAM,A -4H Ayit 01,Arad,Arad,109 sqn,,Shot down by Egyptian SAM,ok
78,"October 13, 1973",F-4 Phantom,Syria,AAA,F -4E Kurnass 618,"Adi Benaya, David Vain","Adi Benaya, David Vain",201 sqn,Elmaza - Damascus,"Shot down 57 -mm AA, crew ejected over Mediterranian sea","ok, ok"
