Unit,Year Established,Affiliation,Predecessor,Successor,Command
"Visual Intelligence Unit - 869 - Shahaf ",1973,Field Intelligence,Visual Intelligence Unit 1973,Visual Intelligence Unit 1973,General
Battalion for Air Assignments (Shaldag) 5101,1974,,Sayeret Matkal 262 269,Battalion for Air Assignments (Shaldag) 5101,Center
Unit 669 Airborne Rescue And Evacuation,1974,"Air force, Wing 7",Unit 669 Airborne Rescue And Evacuation,Unit 669 Airborne Rescue And Evacuation,Air Force
Unit 5707,1974,Air force,,,Air Force
Counterterrorism school,1974,"99 Division - The Maneuver Formation, Infantry, Marom",Counterterrorism school,Counterterrorism school,Center
Oketz Unit Canine Special Forces 7142,1974,"99 Division - The Maneuver Formation, Infantry, Marom",Oketz Unit Canine Special Forces 7142,Oketz Unit Canine Special Forces 7142,Center
Golani Anti-Tank Company,1974,"Golani Brigade, Infantry",,Golani Anti-Tank Company 1974,North
Unit Alpinistim (Res),1974,"810 Brigade, Reconnaissance Battalion 7810, Regional",Unit Alpinistim (Res),Unit Alpinistim (Res),North
Paratroopers Anti-Tank Company,1974,"ATM, Paratroopers Brigade 35",Paratroopers Anti-Tank Company,Paratroopers Anti-Tank Company,Center
98 Division - The Fire Formation,1974,Central Command,98th Paratroopers Division,98th Paratroopers Division,Center
General Staff Visual Intelligence Unit - Mobile Company,1976,Field Intelligence,"Sayeret Matkal 262 269, Visual Intelligence Unit 1973",,General
Battalion for Air Assignments (Shaldag),1977,"Infantry, Sayeret Matkal",Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),Center
Combat Engineering Reconnaissance Platoon 605,1977,"Combat Engineering Reconnaissance Platoons, Engineering",Combat Engineering Reconnaissance Company 605,Combat Engineering Reconnaissance Company 605,North
Golani Engineer Company,1977,"Golani Brigade, Infantry",Golani Engineer Company,Golani Engineer Company,North
Golani Anti-Tank Company,1977,"Golani Brigade, Infantry",Golani Anti-Tank Company 1977,,North
Nahal Anti-Tank Company (Res),1977,ATM,Nahal Anti-Tank Company (Res),Nahal Anti-Tank Company (Res),North
"Yaltam Underwater Missions ",1978,Navy,Defensive Divers 707,,Navy
SLA Reconnaissance,1978,,,,
"Moran ",1981,ATM,Moran,Moran,South
Border Police Reconnaissance Unit - North,1982,"Police, SAMAG",Israeli Police Border Reconnaisance - North,Israeli Police Border Reconnaisance - North,North
Sayeret Yael Combat Engineering Reconnaissance,1982,"Engineering, Yahalom",Unit 630,Yahalom,General
Nahal Brigade 933,1982,"162 Division, Infantry, Southern Command",,,
Border Police Reconnaissance Unit - Central District,1983,"Police, SAMAG",Border Patrol Reconnaissance Unit - Central District,Border Patrol Reconnaissance Unit - Central District,Center
SAMAG,1983,Police,,,
"Sayeret Givati ",1983,"Givati Brigade 84, Infantry",Sayeret Givati,Sayeret Givati,South
Givati Brigade 84,1983,"162 Division, Southern Command",,,
Sayeret Nahal,1983,"Infantry, Nahal Brigade 933",Sayeret Nahal,Sayeret Nahal,Center
